function,description
EC:1.3.1.87,"3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase"
EC:1.3.1.9,Enoyl-[acyl-carrier-protein] reductase (NADH)
EC:1.3.1.93,Very-long-chain enoyl-CoA reductase
EC:1.3.1.98,UDP-N-acetylmuramate dehydrogenase
EC:1.3.3.11,Pyrroloquinoline-quinone synthase
EC:1.3.3.14,Aclacinomycin-A oxidase
EC:1.3.3.3,Coproporphyrinogen oxidase
EC:1.3.3.4,Protoporphyrinogen oxidase
EC:1.3.3.5,Bilirubin oxidase
EC:1.3.3.6,Acyl-CoA oxidase
EC:1.3.4.1,Fumarate reductase (CoM/CoB)
EC:1.3.5.1,Succinate dehydrogenase (quinone)
EC:1.3.5.2,Dihydroorotate dehydrogenase (quinone)
EC:1.3.5.3,Protoporphyrinogen IX dehydrogenase (menaquinone)
EC:1.3.5.4,Fumarate reductase (quinol)
EC:1.3.5.5,15-cis-phytoene desaturase
EC:1.3.5.6,"9,9'-di-cis-zeta-carotene desaturase"
EC:1.3.7.11,"2,3-bis-O-geranylgeranyl-sn-glycero-phospholipid reductase"
EC:1.3.7.5,Phycocyanobilin:ferredoxin oxidoreductase
EC:1.3.7.7,Ferredoxin:protochlorophyllide reductase (ATP-dependent)
EC:1.3.7.8,Benzoyl-CoA reductase
EC:1.3.7.9,4-hydroxybenzoyl-CoA reductase
EC:1.3.8.1,Short-chain acyl-CoA dehydrogenase
EC:1.3.8.12,(2S)-methylsuccinyl-CoA dehydrogenase
EC:1.3.8.2,"4,4'-diapophytoene desaturase (4,4'-diapolycopene-forming)"
EC:1.3.8.3,(R)-benzylsuccinyl-CoA dehydrogenase
EC:1.3.8.4,Isovaleryl-CoA dehydrogenase
EC:1.3.8.6,Glutaryl-CoA dehydrogenase (ETF)
EC:1.3.8.7,Medium-chain acyl-CoA dehydrogenase
EC:1.3.8.8,Long-chain-acyl-CoA dehydrogenase
EC:1.3.98.1,Dihydroorotate oxidase (fumarate)
EC:1.3.99.12,2-methylacyl-CoA dehydrogenase
EC:1.3.99.16,Isoquinoline 1-oxidoreductase
EC:1.3.99.22,Coproporphyrinogen dehydrogenase
EC:1.3.99.23,"All-trans-retinol 13,14-reductase"
EC:1.3.99.26,All-trans-zeta-carotene desaturase
EC:1.3.99.27,"1-hydroxycarotenoid 3,4-desaturase"
EC:1.3.99.28,Phytoene desaturase (neurosporene-forming)
EC:1.3.99.29,Phytoene desaturase (zeta-carotene-forming)
EC:1.3.99.31,Phytoene desaturase (lycopene-forming)
EC:1.3.99.32,Glutaryl-CoA dehydrogenase (acceptor)
EC:1.3.99.33,Urocanate reductase
EC:1.3.99.35,Chlorophyllide a reductase
EC:1.3.99.4,3-oxosteroid 1-dehydrogenase
EC:1.3.99.5,3-oxo-5-alpha-steroid 4-dehydrogenase (acceptor)
EC:1.3.99.8,2-furoyl-CoA dehydrogenase
EC:1.4.1.1,Alanine dehydrogenase
EC:1.4.1.11,"L-erythro-3,5-diaminohexanoate dehydrogenase"
EC:1.4.1.13,Glutamate synthase (NADPH)
EC:1.4.1.14,Glutamate synthase (NADH)
EC:1.4.1.16,Diaminopimelate dehydrogenase
EC:1.4.1.18,Lysine 6-dehydrogenase
EC:1.4.1.2,Glutamate dehydrogenase
EC:1.4.1.20,Phenylalanine dehydrogenase
EC:1.4.1.21,Aspartate dehydrogenase
EC:1.4.1.23,Valine dehydrogenase (NAD(+))
EC:1.4.1.24,3-dehydroquinate synthase II
EC:1.4.1.3,Glutamate dehydrogenase (NAD(P)(+))
EC:1.4.1.4,Glutamate dehydrogenase (NADP(+))
EC:1.4.1.9,Leucine dehydrogenase
EC:1.4.3.10,Putrescine oxidase
EC:1.4.3.16,L-aspartate oxidase
EC:1.4.3.19,Glycine oxidase
EC:1.4.3.20,L-lysine 6-oxidase
EC:1.4.3.21,Primary-amine oxidase
EC:1.4.3.3,D-amino-acid oxidase
EC:1.4.3.4,Monoamine oxidase
EC:1.4.3.5,Pyridoxal 5'-phosphate synthase
EC:1.4.4.2,Glycine dehydrogenase (aminomethyl-transferring)
EC:1.4.7.1,Glutamate synthase (ferredoxin)
EC:1.4.9.1,Methylamine dehydrogenase (amicyanin)
EC:1.4.9.2,Aralkylamine dehydrogenase (azurin)
EC:1.4.99.5,Glycine dehydrogenase (cyanide-forming)
EC:1.4.99.6,D-arginine dehydrogenase
EC:1.5.1.1,(NAD(P)H)
EC:1.5.1.10,"Saccharopine dehydrogenase (NADP(+), L-glutamate-forming)"
EC:1.5.1.2,Pyrroline-5-carboxylate reductase
EC:1.5.1.20,Methylenetetrahydrofolate reductase (NAD(P)H)
EC:1.5.1.21,1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase (NADPH)
EC:1.5.1.24,N(5)-(carboxyethyl)ornithine synthase
EC:1.5.1.28,Opine dehydrogenase
EC:1.5.1.3,Dihydrofolate reductase
EC:1.5.1.33,Pteridine reductase
EC:1.5.1.34,"6,7-dihydropteridine reductase"
EC:1.5.1.36,Flavin reductase (NADH)
EC:1.5.1.38,FMN reductase (NADPH)
EC:1.5.1.39,FMN reductase (NAD(P)H)
EC:1.5.1.41,Riboflavin reductase (NAD(P)H)
EC:1.5.1.43,Carboxynorspermidine synthase
EC:1.5.1.45,FAD reductase (NAD(P)H)
EC:1.5.1.47,Dihydromethanopterin reductase (NAD(P)(+))
EC:1.5.1.49,1-pyrroline-2-carboxylate reductase (NAD(P)H)
EC:1.5.1.5,Methylenetetrahydrofolate dehydrogenase (NADP(+))
EC:1.5.1.6,Formyltetrahydrofolate dehydrogenase
EC:1.5.1.7,"Saccharopine dehydrogenase (NAD(+), L-lysine-forming)"
EC:1.5.1.8,"Saccharopine dehydrogenase (NADP(+), L-lysine-forming)"
EC:1.5.1.9,"Saccharopine dehydrogenase (NAD(+), L-glutamate-forming)"
EC:1.5.3.1,Sarcosine oxidase
EC:1.5.3.17,Non-specific polyamine oxidase
EC:1.5.3.19,4-methylaminobutanoate oxidase (formaldehyde-forming)
EC:1.5.3.7,L-pipecolate oxidase
EC:1.5.5.1,Electron-transferring-flavoprotein dehydrogenase
EC:1.5.5.2,Proline dehydrogenase
EC:1.5.8.1,Dimethylamine dehydrogenase
EC:1.5.8.2,Trimethylamine dehydrogenase
EC:1.5.8.4,Dimethylglycine dehydrogenase
EC:1.5.98.1,Methylenetetrahydromethanopterin dehydrogenase
EC:1.5.98.2,"5,10-methylenetetrahydromethanopterin reductase"
EC:1.5.99.14,6-hydroxypseudooxynicotine dehydrogenase
EC:1.5.99.15,Dihydromethanopterin reductase (acceptor)
EC:1.5.99.6,Spermidine dehydrogenase
EC:1.6.1.1,NAD(P)(+) transhydrogenase (Si-specific)
EC:1.6.1.2,NAD(P)(+) transhydrogenase (Re/Si-specific)
EC:1.6.2.4,NADPH--hemoprotein reductase
EC:1.6.3.3,NADH oxidase (H(2)O(2)-forming)
EC:1.6.3.4,NADH oxidase (H(2)O-forming)
EC:1.6.5.2,NAD(P)H dehydrogenase (quinone)
EC:1.6.5.3,NADH:ubiquinone reductase (H(+)-translocating)
EC:1.6.5.5,NADPH:quinone reductase
EC:1.6.99.1,NADPH dehydrogenase
EC:1.6.99.3,NADH dehydrogenase
EC:1.7.1.13,PreQ(1) synthase
EC:1.7.1.15,Nitrite reductase (NADH)
EC:1.7.1.6,Azobenzene reductase
EC:1.7.1.7,GMP reductase
EC:1.7.2.1,Nitrite reductase (NO-forming)
EC:1.7.2.2,Nitrite reductase (cytochrome; ammonia-forming)
EC:1.7.2.3,Trimethylamine-N-oxide reductase (cytochrome c)
EC:1.7.2.4,Nitrous-oxide reductase
EC:1.7.2.5,Nitric-oxide reductase (cytochrome c)
EC:1.7.2.6,Hydroxylamine dehydrogenase
EC:1.7.3.3,Factor independent urate hydroxylase
EC:1.7.7.1,Ferredoxin--nitrite reductase
EC:1.7.7.2,Ferredoxin--nitrate reductase
EC:1.7.99.1,Hydroxylamine reductase
EC:1.7.99.4,Nitrate reductase
EC:1.8.1.14,CoA-disulfide reductase
EC:1.8.1.15,Mycothione reductase
EC:1.8.1.2,Assimilatory sulfite reductase (NADPH)
EC:1.8.1.4,Dihydrolipoyl dehydrogenase
EC:1.8.1.7,Glutathione-disulfide reductase
EC:1.8.1.8,Protein-disulfide reductase
EC:1.8.1.9,Thioredoxin-disulfide reductase
EC:1.8.2.1,Sulfite dehydrogenase
EC:1.8.2.2,Thiosulfate dehydrogenase
EC:1.8.2.3,Sulfide-cytochrome-c reductase (flavocytochrome c)
EC:1.8.2.4,Dimethyl sulfide:cytochrome c2 reductase
EC:1.8.3.1,Sulfite oxidase
EC:1.8.4.11,Peptide-methionine (S)-S-oxide reductase
EC:1.8.4.12,Peptide-methionine (R)-S-oxide reductase
EC:1.8.4.8,Phosphoadenylyl-sulfate reductase (thioredoxin)
EC:1.8.5.2,Thiosulfate dehydrogenase (quinone)
EC:1.8.5.3,Dimethylsulfoxide reductase
EC:1.8.7.1,Assimilatory sulfite reductase (ferredoxin)
EC:1.8.7.2,Ferredoxin:thioredoxin reductase
EC:1.8.98.1,CoB--CoM heterodisulfide reductase
EC:1.8.99.2,Adenylyl-sulfate reductase
EC:1.8.99.3,Hydrogensulfite reductase
EC:1.8.99.5,Dissimilatory sulfite reductase
EC:1.9.3.1,Cytochrome-c oxidase
EC:1.97.1.4,[Formate-C-acetyltransferase]-activating enzyme
EC:1.97.1.9,Selenate reductase
EC:2.1.1.10,Homocysteine S-methyltransferase
EC:2.1.1.100,Protein-S-isoprenylcysteine O-methyltransferase
EC:2.1.1.102,Demethylmacrocin O-methyltransferase
EC:2.1.1.103,Phosphoethanolamine N-methyltransferase
EC:2.1.1.104,Caffeoyl-CoA O-methyltransferase
EC:2.1.1.107,Uroporphyrinogen-III C-methyltransferase
EC:2.1.1.11,Magnesium protoporphyrin IX methyltransferase
EC:2.1.1.113,Site-specific DNA-methyltransferase (cytosine-N(4)-specific)
EC:2.1.1.13,Methionine synthase
EC:2.1.1.130,Precorrin-2 C(20)-methyltransferase
EC:2.1.1.131,Precorrin-3B C(17)-methyltransferase
EC:2.1.1.132,"Precorrin-6B C(5,15)-methyltransferase (decarboxylating)"
EC:2.1.1.133,Precorrin-4 C(11)-methyltransferase
EC:2.1.1.14,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
EC:2.1.1.144,Trans-aconitate 2-methyltransferase
EC:2.1.1.148,Thymidylate synthase (FAD)
EC:2.1.1.151,Cobalt-factor II C(20)-methyltransferase
EC:2.1.1.152,Precorrin-6A synthase (deacetylating)
EC:2.1.1.157,Sarcosine/dimethylglycine N-methyltransferase
EC:2.1.1.163,Demethylmenaquinone methyltransferase
EC:2.1.1.166,23S rRNA (uridine(2552)-2'-O)-methyltransferase
EC:2.1.1.17,Phosphatidylethanolamine N-methyltransferase
EC:2.1.1.170,16S rRNA (guanine(527)-N(7))-methyltransferase
EC:2.1.1.171,16S rRNA (guanine(966)-N(2))-methyltransferase
EC:2.1.1.172,16S rRNA (guanine(1207)-N(2))-methyltransferase
EC:2.1.1.173,23S rRNA (guanine(2445)-N(2))-methyltransferase
EC:2.1.1.174,23S rRNA (guanine(1835)-N(2))-methyltransferase
EC:2.1.1.176,16S rRNA (cytosine(967)-C(5))-methyltransferase
EC:2.1.1.177,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase
EC:2.1.1.178,16S rRNA (cytosine(1407)-C(5))-methyltransferase
EC:2.1.1.179,16S rRNA (guanine(1405)-N(7))-methyltransferase
EC:2.1.1.180,16S rRNA (adenine(1408)-N(1))-methyltransferase
EC:2.1.1.181,23S rRNA (adenine(1618)-N(6))-methyltransferase
EC:2.1.1.182,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase
EC:2.1.1.184,23S rRNA (adenine(2085)-N(6))-dimethyltransferase
EC:2.1.1.185,23S rRNA (guanosine(2251)-2'-O)-methyltransferase
EC:2.1.1.186,23S rRNA (cytidine(2498)-2'-O)-methyltransferase
EC:2.1.1.187,23S rRNA (guanine(745)-N(1))-methyltransferase
EC:2.1.1.189,23S rRNA (uracil(747)-C(5))-methyltransferase
EC:2.1.1.190,23S rRNA (uracil(1939)-C(5))-methyltransferase
EC:2.1.1.191,23S rRNA (cytosine(1962)-C(5))-methyltransferase
EC:2.1.1.192,23S rRNA (adenine(2503)-C(2))-methyltransferase
EC:2.1.1.193,16S rRNA (uracil(1498)-N(3))-methyltransferase
EC:2.1.1.195,Cobalt-precorrin-5B (C(1))-methyltransferase
EC:2.1.1.196,Cobalt-precorrin-6B (C(15))-methyltransferase (decarboxylating)
EC:2.1.1.197,Malonyl-[acyl-carrier protein] O-methyltransferase
EC:2.1.1.198,16S rRNA (cytidine(1402)-2'-O)-methyltransferase
EC:2.1.1.199,16S rRNA (cytosine(1402)-N(4))-methyltransferase
EC:2.1.1.200,tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase
EC:2.1.1.201,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"
EC:2.1.1.206,tRNA (cytidine(56)-2'-O)-methyltransferase
EC:2.1.1.207,tRNA (cytidine(34)-2'-O)-methyltransferase
EC:2.1.1.210,Demethylspheroidene O-methyltransferase
EC:2.1.1.213,tRNA (guanine(10)-N(2))-dimethyltransferase
EC:2.1.1.215,tRNA (guanine(26)-N(2)/guanine(27)-N(2))-dimethyltransferase
EC:2.1.1.216,tRNA (guanine(26)-N(2))-dimethyltransferase
EC:2.1.1.217,tRNA (adenine(22)-N(1))-methyltransferase
EC:2.1.1.219,tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase
EC:2.1.1.220,tRNA (adenine(58)-N(1))-methyltransferase
EC:2.1.1.222,2-polyprenyl-6-hydroxyphenol methylase
EC:2.1.1.223,tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase
EC:2.1.1.224,23S rRNA (adenine(2503)-C(8))-methyltransferase
EC:2.1.1.226,23S rRNA (cytidine(1920)-2'-O)-methyltransferase
EC:2.1.1.227,16S rRNA (cytidine(1409)-2'-O)-methyltransferase
EC:2.1.1.228,tRNA (guanine(37)-N(1))-methyltransferase
EC:2.1.1.234,"N,N-dimethyltransferase"
EC:2.1.1.242,16S rRNA (guanine(1516)-N(2))-methyltransferase
EC:2.1.1.245,Co-methyltransferase
EC:2.1.1.246,methyltransferase
EC:2.1.1.248,[Methylamine--corrinoid protein] Co-methyltransferase
EC:2.1.1.249,[Dimethylamine--corrinoid protein] Co-methyltransferase
EC:2.1.1.250,[Trimethylamine--corrinoid protein] Co-methyltransferase
EC:2.1.1.255,Geranyl diphosphate 2-C-methyltransferase
EC:2.1.1.256,tRNA (guanine(6)-N(2))-methyltransferase
EC:2.1.1.257,tRNA (pseudouridine(54)-N(1))-methyltransferase
EC:2.1.1.258,Co-methyltransferase
EC:2.1.1.260,rRNA small subunit pseudouridine methyltransferase Nep1
EC:2.1.1.264,23S rRNA (guanine(2069)-N(7))-methyltransferase
EC:2.1.1.265,Tellurite methyltransferase
EC:2.1.1.266,23S rRNA (adenine(2030)-N(6))-methyltransferase
EC:2.1.1.268,tRNA(Thr) (cytosine(32)-N(3))-methyltransferase
EC:2.1.1.269,Dimethylsulfoniopropionate demethylase
EC:2.1.1.271,Cobalt-precorrin-4 methyltransferase
EC:2.1.1.288,Aklanonic acid methyltransferase
EC:2.1.1.289,Cobalt-precorrin-7 (C(5))-methyltransferase
EC:2.1.1.294,3-phospho-methyltransferase
EC:2.1.1.295,"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase"
EC:2.1.1.297,Peptide chain release factor N(5)-glutamine methyltransferase
EC:2.1.1.298,Ribosomal protein L3 N(5)-glutamine methyltransferase
EC:2.1.1.33,tRNA (guanine(46)-N(7))-methyltransferase
EC:2.1.1.34,tRNA (guanosine(18)-2'-O)-methyltransferase
EC:2.1.1.35,tRNA (uracil(54)-C(5))-methyltransferase
EC:2.1.1.37,DNA (cytosine-5-)-methyltransferase
EC:2.1.1.4,Acetylserotonin O-methyltransferase
EC:2.1.1.41,Sterol 24-C-methyltransferase
EC:2.1.1.43,Histone-lysine N-methyltransferase
EC:2.1.1.44,L-histidine N(alpha)-methyltransferase
EC:2.1.1.45,Thymidylate synthase
EC:2.1.1.5,Betaine--homocysteine S-methyltransferase
EC:2.1.1.6,Catechol O-methyltransferase
EC:2.1.1.61,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
EC:2.1.1.63,Methylated-DNA--[protein]-cysteine S-methyltransferase
EC:2.1.1.64,3-demethylubiquinol 3-O-methyltransferase
EC:2.1.1.67,Thiopurine S-methyltransferase
EC:2.1.1.71,Phosphatidyl-N-methylethanolamine N-methyltransferase
EC:2.1.1.72,Site-specific DNA-methyltransferase (adenine-specific)
EC:2.1.1.74,(FADH(2)-oxidizing)
EC:2.1.1.77,Protein-L-isoaspartate(D-aspartate) O-methyltransferase
EC:2.1.1.79,Cyclopropane-fatty-acyl-phospholipid synthase
EC:2.1.1.80,Protein-glutamate O-methyltransferase
EC:2.1.1.86,Tetrahydromethanopterin S-methyltransferase
EC:2.1.1.90,Methanol--corrinoid protein Co-methyltransferase
EC:2.1.1.95,Tocopherol O-methyltransferase
EC:2.1.1.98,Diphthine synthase
EC:2.1.2.1,Glycine hydroxymethyltransferase
EC:2.1.2.10,Aminomethyltransferase
EC:2.1.2.11,3-methyl-2-oxobutanoate hydroxymethyltransferase
EC:2.1.2.13,UDP-4-amino-4-deoxy-L-arabinose formyltransferase
EC:2.1.2.2,Phosphoribosylglycinamide formyltransferase
EC:2.1.2.3,Phosphoribosylaminoimidazolecarboxamide formyltransferase
EC:2.1.2.5,Glutamate formimidoyltransferase
EC:2.1.2.9,Methionyl-tRNA formyltransferase
EC:2.1.3.1,Methylmalonyl-CoA carboxytransferase
EC:2.1.3.11,N-succinylornithine carbamoyltransferase
EC:2.1.3.2,Aspartate carbamoyltransferase
EC:2.1.3.3,Ornithine carbamoyltransferase
EC:2.1.3.6,Putrescine carbamoyltransferase
EC:2.1.3.9,N-acetylornithine carbamoyltransferase
EC:2.1.4.1,Glycine amidinotransferase
EC:2.10.1.1,Molybdopterin molybdotransferase
EC:2.2.1.1,Transketolase
EC:2.2.1.10,"2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase"
EC:2.2.1.11,6-deoxy-5-ketofructose 1-phosphate synthase
EC:2.2.1.2,Transaldolase
EC:2.2.1.6,Acetolactate synthase
EC:2.2.1.7,1-deoxy-D-xylulose-5-phosphate synthase
EC:2.2.1.9,synthase
EC:2.3.1.1,Amino-acid N-acetyltransferase
EC:2.3.1.101,Formylmethanofuran--tetrahydromethanopterin N-formyltransferase
EC:2.3.1.102,N(6)-hydroxylysine O-acetyltransferase
EC:2.3.1.109,Arginine N-succinyltransferase
EC:2.3.1.117,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
EC:2.3.1.118,N-hydroxyarylamine O-acetyltransferase
EC:2.3.1.12,Dihydrolipoyllysine-residue acetyltransferase
EC:2.3.1.122,Trehalose O-mycolyltransferase
EC:2.3.1.128,Ribosomal-protein-alanine N-acetyltransferase
EC:2.3.1.129,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
EC:2.3.1.15,Glycerol-3-phosphate 1-O-acyltransferase
EC:2.3.1.157,Glucosamine-1-phosphate N-acetyltransferase
EC:2.3.1.16,Acetyl-CoA C-acyltransferase
EC:2.3.1.168,Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase
EC:2.3.1.169,CO-methylating acetyl-CoA synthase
EC:2.3.1.174,3-oxoadipyl-CoA thiolase
EC:2.3.1.178,Diaminobutyrate acetyltransferase
EC:2.3.1.179,Beta-ketoacyl-[acyl-carrier-protein] synthase II
EC:2.3.1.18,Galactoside O-acetyltransferase
EC:2.3.1.180,Beta-ketoacyl-[acyl-carrier-protein] synthase III
EC:2.3.1.181,Lipoyl(octanoyl) transferase
EC:2.3.1.182,(R)-citramalate synthase
EC:2.3.1.183,Phosphinothricin acetyltransferase
EC:2.3.1.184,Acyl-homoserine-lactone synthase
EC:2.3.1.187,Acetyl-S-ACP:malonate ACP transferase
EC:2.3.1.189,Mycothiol synthase
EC:2.3.1.19,Phosphate butyryltransferase
EC:2.3.1.191,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
EC:2.3.1.193,tRNA(Met) cytidine acetyltransferase
EC:2.3.1.20,Diacylglycerol O-acyltransferase
EC:2.3.1.200,Lipoyl amidotransferase
EC:2.3.1.201,"UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase"
EC:2.3.1.202,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase"
EC:2.3.1.203,UDP-N-acetylbacillosamine N-acetyltransferase
EC:2.3.1.204,Octanoyl-[GcvH]:protein N-octanoyltransferase
EC:2.3.1.207,Beta-ketodecanoyl-[acyl-carrier-protein] synthase
EC:2.3.1.210,"dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase"
EC:2.3.1.222,Phosphate propanoyltransferase
EC:2.3.1.223,"3-oxo-5,6-didehydrosuberyl-CoA thiolase"
EC:2.3.1.228,Isovaleryl-homoserine lactone synthase
EC:2.3.1.229,4-coumaroyl-homoserine lactone synthase
EC:2.3.1.233,"1,3,6,8-tetrahydroxynaphthalene synthase"
EC:2.3.1.234,N(6)-L-threonylcarbamoyladenine synthase
EC:2.3.1.235,Tetracenomycin F2 synthase
EC:2.3.1.241,Kdo(2)-lipid IV(A) lauroyltransferase
EC:2.3.1.242,Kdo(2)-lipid IV(A) palmitoleoyltransferase
EC:2.3.1.243,Lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase
EC:2.3.1.28,Chloramphenicol O-acetyltransferase
EC:2.3.1.29,Glycine C-acetyltransferase
EC:2.3.1.30,Serine O-acetyltransferase
EC:2.3.1.31,Homoserine O-acetyltransferase
EC:2.3.1.35,Glutamate N-acetyltransferase
EC:2.3.1.37,5-aminolevulinate synthase
EC:2.3.1.39,[Acyl-carrier-protein] S-malonyltransferase
EC:2.3.1.4,Glucosamine-phosphate N-acetyltransferase
EC:2.3.1.40,Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase
EC:2.3.1.41,Beta-ketoacyl-[acyl-carrier-protein] synthase I
EC:2.3.1.46,Homoserine O-succinyltransferase
EC:2.3.1.47,8-amino-7-oxononanoate synthase
EC:2.3.1.48,Histone acetyltransferase
EC:2.3.1.50,Serine C-palmitoyltransferase
EC:2.3.1.51,1-acylglycerol-3-phosphate O-acyltransferase
EC:2.3.1.54,Formate C-acetyltransferase
EC:2.3.1.57,Diamine N-acetyltransferase
EC:2.3.1.59,Gentamicin 2'-N-acetyltransferase
EC:2.3.1.60,Gentamicin 3'-N-acetyltransferase
EC:2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase
EC:2.3.1.7,Carnitine O-acetyltransferase
EC:2.3.1.79,Maltose O-acetyltransferase
EC:2.3.1.8,Phosphate acetyltransferase
EC:2.3.1.81,Aminoglycoside N(3')-acetyltransferase
EC:2.3.1.82,Aminoglycoside 6'-N-acetyltransferase
EC:2.3.1.88,Peptide alpha-N-acetyltransferase
EC:2.3.1.89,Tetrahydrodipicolinate N-acetyltransferase
EC:2.3.1.9,Acetyl-CoA C-acetyltransferase
EC:2.3.2.10,UDP-N-acetylmuramoylpentapeptide-lysine N(6)-alanyltransferase
EC:2.3.2.13,Protein-glutamine gamma-glutamyltransferase
EC:2.3.2.16,Lipid II:glycine glycyltransferase
EC:2.3.2.17,glycyltransferase
EC:2.3.2.18,glycyltransferase
EC:2.3.2.2,Gamma-glutamyltransferase
EC:2.3.2.21,Cyclo(L-tyrosyl-L-tyrosyl) synthase
EC:2.3.2.3,Lysyltransferase
EC:2.3.2.4,Gamma-glutamylcyclotransferase
EC:2.3.2.5,Glutaminyl-peptide cyclotransferase
EC:2.3.2.6,Leucyltransferase
EC:2.3.2.8,Arginyltransferase
EC:2.3.3.1,Citrate (Si)-synthase
EC:2.3.3.10,Hydroxymethylglutaryl-CoA synthase
EC:2.3.3.13,2-isopropylmalate synthase
EC:2.3.3.14,Homocitrate synthase
EC:2.3.3.15,Sulfoacetaldehyde acetyltransferase
EC:2.3.3.5,2-methylcitrate synthase
EC:2.3.3.8,ATP citrate synthase
EC:2.3.3.9,Malate synthase
EC:2.4.1.1,Glycogen phosphorylase
EC:2.4.1.10,Levansucrase
EC:2.4.1.109,Dolichyl-phosphate-mannose--protein mannosyltransferase
EC:2.4.1.11,Glycogen(starch) synthase
EC:2.4.1.117,Dolichyl-phosphate beta-glucosyltransferase
EC:2.4.1.12,Cellulose synthase (UDP-forming)
EC:2.4.1.129,Peptidoglycan glycosyltransferase
EC:2.4.1.13,Sucrose synthase
EC:2.4.1.14,Sucrose-phosphate synthase
EC:2.4.1.144,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
EC:2.4.1.15,"Alpha,alpha-trehalose-phosphate synthase (UDP-forming)"
EC:2.4.1.161,Oligosaccharide 4-alpha-D-glucosyltransferase
EC:2.4.1.173,Sterol 3-beta-glucosyltransferase
EC:2.4.1.18,"1,4-alpha-glucan branching enzyme"
EC:2.4.1.180,Lipopolysaccharide N-acetylmannosaminouronosyltransferase
EC:2.4.1.182,Lipid-A-disaccharide synthase
EC:2.4.1.187,mannosaminyltransferase
EC:2.4.1.19,Cyclomaltodextrin glucanotransferase
EC:2.4.1.20,Cellobiose phosphorylase
EC:2.4.1.208,"Diglucosyl diacylglycerol synthase (1,2-linking)"
EC:2.4.1.21,Starch synthase
EC:2.4.1.211,"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase"
EC:2.4.1.212,Hyaluronan synthase
EC:2.4.1.213,Glucosylglycerol-phosphate synthase
EC:2.4.1.216,Trehalose 6-phosphate phosphorylase
EC:2.4.1.217,Mannosyl-3-phosphoglycerate synthase
EC:2.4.1.227,acetylglucosaminyltransferase
EC:2.4.1.230,Kojibiose phosphorylase
EC:2.4.1.245,"Alpha,alpha-trehalose synthase"
EC:2.4.1.246,Mannosylfructose-phosphate synthase
EC:2.4.1.247,Beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase
EC:2.4.1.25,4-alpha-glucanotransferase
EC:2.4.1.250,D-inositol-3-phosphate glycosyltransferase
EC:2.4.1.251,"diphospho-ditrans,octacis-undecaprenol 4-beta-mannosyltransferase"
EC:2.4.1.252,GDP-mannose:cellobiosyl-diphosphopolyprenol alpha-mannosyltransferase
EC:2.4.1.264,2-beta-glucuronyltransferase
EC:2.4.1.266,Glucosyl-3-phosphoglycerate synthase
EC:2.4.1.276,Zeaxanthin glucosyltransferase
EC:2.4.1.277,10-deoxymethynolide desosaminyltransferase
EC:2.4.1.279,Nigerose phosphorylase
EC:2.4.1.280,"N,N'-diacetylchitobiose phosphorylase"
EC:2.4.1.281,4-O-beta-D-mannosyl-D-glucose phosphorylase
EC:2.4.1.287,galactofuranosyltransferase
EC:2.4.1.288,"decaprenol beta-1,5/1,6-galactofuranosyltransferase"
EC:2.4.1.289,N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
EC:2.4.1.290,acetylgalactosaminyltransferase
EC:2.4.1.291,4-alpha-N-acetylgalactosaminyltransferase
EC:2.4.1.292,"1,4-N-acetyl-D-galactosaminyltransferase"
EC:2.4.1.293,"GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase"
EC:2.4.1.310,Vancomycin aglycone glucosyltransferase
EC:2.4.1.315,"Diglucosyl diacylglycerol synthase (1,6-linking)"
EC:2.4.1.319,"Beta-1,4-mannooligosaccharide phosphorylase"
